"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Can GPGPU Programming Be Liberated from the Data-Parallel Bottleneck?","B. R. Gaster; L. Howes",Advanced Micro Devices; Advanced Micro Devices,"Computer","17 Aug 2012","2012","45","8","42","52","With the growth in transistor counts in modern hardware, heterogeneous systems are becoming commonplace. Core counts are increasing such that GPU and CPU designs are reaching deep into the tens of cores. For performance reasons, different cores in a heterogeneous platform follow different design choices. Based on throughput computing goals, GPU cores tend to support wide vectors and substantial register files. Current designs optimize CPU cores for latency, dedicating logic to caches and out-of-order dependence control. Heterogeneous parallel primitives (HPP) addresses two major shortcomings in current GPGPU programming models: it supports full composability by defining abstractions and increases flexibility in execution by introducing braided parallelism. Heterogeneous parallel primitives is an object-oriented, C++11-based programming model that addresses these shortcomings on both CPUs and massively multithreaded GPUs: it supports full composability by defining abstractions using distributed arrays and barrier objects, and it increases flexibility in execution by introducing braided parallelism. This paper implemented a feature-complete version of HPP, including all syntactic constructs, that runs on top of a task-parallel runtime executing on the CPU. They continue to develop and improve the model, including reducing overhead due to channel management, and plan to make a public version available sometime in the future.","1558-0814","","10.1109/MC.2012.257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6272260","massively threaded computing systems;heterogeneous parallel primitives;braided parallelism;persistent threading;GPGPU programming;data-parallel execution;distributed arrays;hardware","Graphics processing unit;Programming;Performance evaluation;Parellel processing;Indexes;Hardware;Multithreading","C++ language;graphics processing units;integrated circuit design;multi-threading;object-oriented programming","GPGPU programming;data-parallel bottleneck;heterogeneous systems;core counts;GPU designs;CPU designs;heterogeneous parallel primitives;general-purpose computing-on-graphics processing units;object-oriented C++11-based programming model;distributed arrays;barrier objects;task-parallel runtime;channel management;braided parallelism","","24","2","16","","17 Aug 2012","","","IEEE","IEEE Magazines"
"CUDAsmith: A Fuzzer for CUDA Compilers","B. Jiang; X. Wang; W. K. Chan; T. H. Tse; N. Li; Y. Yin; Z. Zhang","Beihang University, China; Beihang University, China; City University of Hong Kong; The University of Hong Kong, Hong Kong; CAST; Beihang University, China; Chinese Academy of Sciences, China","2020 IEEE 44th Annual Computers, Software, and Applications Conference (COMPSAC)","22 Sep 2020","2020","","","861","871","CUDA is a parallel computing platform and programming model for the graphics processing unit (GPU) of NVIDIA. With CUDA programming, general purpose computing on GPU (GPGPU) is possible. However, the correctness of CUDA programs relies on the correctness of CUDA compilers, which is difficult to test due to its complexity. In this work, we propose CUDAsmith, a fuzzing framework for CUDA compilers. Our tool can randomly generate deterministic and valid CUDA kernel code with several different strategies. Moreover, it adopts random differential testing and EMI testing techniques to solve the test oracle problems of CUDA compiler testing. In particular, we lift live code injection to CUDA compiler testing to help generate EMI variants. Our fuzzing experiments with both the NVCC compiler and the Clang compiler for CUDA have detected thousands of failures, some of which have been confirmed by compiler developers. Finally, the cost-effectiveness of CUDAsmith is also thoroughly evaluated in our fuzzing experiment.","0730-3157","978-1-7281-7303-0","10.1109/COMPSAC48688.2020.0-156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202798","Compiler, compute unified device architecture (CUDA), differential testing, equivalence modulo inputs (EMI) testing, fuzzing, general purpose computing on graphics processing unit (GPGPU)","Graphics processing units;Kernel;Electromagnetic interference;Fuzzing;Tools;Computational modeling","computational complexity;graphics processing units;program compilers;program testing","CUDA programming;general purpose computing;GPU;CUDA programs;CUDA compilers;CUDAsmith;deterministic CUDA kernel code;random differential testing;test oracle problems;CUDA compiler testing;NVCC compiler;Clang compiler;compiler developers;parallel computing platform;programming model","","1","","29","","22 Sep 2020","","","IEEE","IEEE Conferences"
"Task-based parallel breadth-first search in heterogeneous environments","L. Munguía; D. A. Bader; E. Ayguade","Barcelona School of Informatics, Universitat Politècnica de Catalunya, Barcelona, Spain; College of Computing Georgia Institute of Technology, Atlanta GA 30332; Barcelona Supercomputing Center (BSC), Spain","2012 19th International Conference on High Performance Computing","25 Apr 2013","2012","","","1","10","Breadth-first search (BFS) is an essential graph traversal strategy widely used in many computing applications. Because of its irregular data access patterns, BFS has become a non-trivial problem hard to parallelize efficiently. In this paper, we introduce a parallelization strategy that allows the load balancing of computation resources as well as the execution of graph traversals in hybrid environments composed of CPUs and GPUs. To achieve that goal, we use a fine-grained task-based parallelization scheme and the OmpSs programming model. We obtain processing rates up to 2.8 billion traversed edges per second with a single GPU and a multi-core processor. Our study shows high processing rates are achievable with hybrid environments despite the GPU communication latency and memory coherence.","","978-1-4673-2371-0","10.1109/HiPC.2012.6507474","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6507474","","","graph theory;graphics processing units;multiprocessing systems;parallel processing;resource allocation;tree searching","task-based parallel breadth-first search;heterogeneous environment;BFS;graph traversal strategy;irregular data access pattern;parallelization strategy;load balancing;computation resource;hybrid environment;CPU;fine-grained task-based parallelization scheme;OmpSs programming model;processing rate;multicore processor;GPU communication latency;memory coherence","","16","1","15","","25 Apr 2013","","","IEEE","IEEE Conferences"
"SOLAR: Services-Oriented Learning Architectures","C. Wang; X. Li; Q. Yu; A. Wang; P. Hung; X. Zhou","Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China; Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China; Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China; Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China; Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China; Sch. of Comput. Sci., Univ. of Sci. & Technol. of China, Hefei, China","2016 IEEE International Conference on Web Services (ICWS)","1 Sep 2016","2016","","","662","665","Deep learning has been an emerging field of machine learning during past decades. However, the diversity and large scale data sizes have posed significant challenge to construct a flexible and high efficient implementations of deep learning neural networks. In order to improve the performance as well to maintain the scalability, in this paper we present SOLAR, a services-oriented deep learning architecture using various accelerators like GPU and FPGA based approaches. SOLAR provides a uniform programming model to users so that the hardware implementation and the scheduling is invisible to the programmers. At runtime, the services can be executed either on the software processors or the hardware accelerators. Experimental results on the real state-of-the-art FPGA board demonstrate that the SOLAR is able to provide a ubiquitous framework for diverse applications without increasing the burden of the programmers. Moreover, the speedup of the GPU and FPGA hardware accelerator in SOLAR can achieve significant speedup comparing to the conventional Intel i5 processors with great scalability.","","978-1-5090-2675-3","10.1109/ICWS.2016.91","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7558064","Services-oriented Architecture;Deep Learning;Neural Network;Accelerator","Hardware;Machine learning;Field programmable gate arrays;Computer architecture;Graphics processing units;Service-oriented architecture","field programmable gate arrays;graphics processing units;learning (artificial intelligence);multiprocessing systems;neural nets;service-oriented architecture","SOLAR;machine learning;deep learning neural networks;services-oriented deep learning architecture;GPU;FPGA based approaches;uniform programming model;ubiquitous framework;Intel i5 processors","","7","","9","","1 Sep 2016","","","IEEE","IEEE Conferences"
"Massively Parallel Network Coding on GPUs","X. Chu; K. Zhao; M. Wang","Department of Computer Science, Hong Kong Baptist University, Hong Kong, P.R.C, chxw@comp.hkbu.edu.hk; Department of Computer Science, Hong Kong Baptist University, Hong Kong, P.R.C, kyzhao@comp.hkbu.edu.hk; Department of Computer Science, University of Calgary, Alberta, Canada, meawang@ucalgary.ca","2008 IEEE International Performance, Computing and Communications Conference","9 Jan 2009","2008","","","144","151","Network coding has recently been widely applied in various networks for system throughput improvement and/or resilience to network dynamics. However, the computational overhead introduced by the network coding operations is not negligible and has become the cornerstone for real deployment of network coding. In this paper, we exploit the computing power of contemporary Graphic Processing Units (GPUs) to accelerate the network coding operations. We proposed three parallel algorithms that maximize the parallelism of the encoding and decoding processes, i.e., the power of GPUs is fully utilized. This paper also shares our optimization design choices and our workarounds to the challenges encountered in working with GPUs. With our implementation of the algorithms, we are able to achieve up to 12 times of speedup over the highly optimized CPU counterpart, using the NVIDIA GPU and the Computer Unified Device Architecture (CUDA) programming model.","2374-9628","978-1-4244-3368-1","10.1109/PCCC.2008.4745113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4745113","Network coding;GPU computing;CUDA","Network coding;Computer networks;Throughput;Resilience;Graphics;Acceleration;Parallel algorithms;Parallel processing;Encoding;Decoding","microprocessor chips;parallel algorithms","massively parallel network coding;system throughput improvement;graphic processing units;parallel algorithms;NVIDIA GPU;computer unified device architecture programming","","22","","21","","9 Jan 2009","","","IEEE","IEEE Conferences"
"The Intel® Many Integrated Core Architecture","A. Duran; M. Klemm",Intel Corporation; Intel Corporation,"2012 International Conference on High Performance Computing & Simulation (HPCS)","16 Aug 2012","2012","","","365","366","In recent years, an observable trend in High Performance Computing (HPC) architectures has been the inclusion of accelerators, such as GPUs and field programmable arrays (FPGAs), to improve the performance of scientific applications. To rise to this challenge Intel announced the Intel<sup>®</sup> Many Integrated Core Architecture (Intel<sup>®</sup> MIC Architecture). In contrast with other accelerated platforms, the Intel MIC Architecture is a general purpose, manycore coprocessor that improves the programmability of such devices by supporting the well-known shared-memory execution model that is the base of most nodes in HPC machines. In this presentation, we will introduce key properties of the Intel MIC Architecture and we will also cover programming models for parallelization and vectorization of applications targeting this architecture.","","978-1-4673-2362-8","10.1109/HPCSim.2012.6266938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6266938","","Coprocessors;Computer architecture;Microwave integrated circuits;Programming;Hardware;Program processors;Syntactics","field programmable gate arrays;graphics processing units;parallel architectures;shared memory systems","Intel many integrated core architecture;high performance computing;accelerators;GPU;field programmable arrays;Intel MIC architecture;many core coprocessor;shared-memory execution model;programming model;parallelization;vectorization","","48","1","2","","16 Aug 2012","","","IEEE","IEEE Conferences"
"Monte Carlo simulation of X-ray imaging using a graphics processing unit","A. Badal; A. Badano","U.S. Food and Drug Administration, Division of Imaging and Applied Mathematics, Office of Science and Engineering Laboratories, Center for Devices and Radiological Health, Silver Spring, MD 20993-0002 USA; U.S. Food and Drug Administration, Division of Imaging and Applied Mathematics, Office of Science and Engineering Laboratories, Center for Devices and Radiological Health, Silver Spring, MD 20993-0002 USA","2009 IEEE Nuclear Science Symposium Conference Record (NSS/MIC)","29 Jan 2010","2009","","","4081","4084","A code for Monte Carlo simulations of radiation transport using a Graphics Processing Unit (GPU) is introduced. The code has been developed using the CUDA¿ programming model, an extension to the C language that allows the execution of general purpose computations on the new generation of GPUs from NVIDIA. The accurate Compton and Rayleigh interaction models and interaction mean free paths from the PENELOPE package, and a generic voxelized geometry model, have been implemented in the new code. The secondary particles generated by Compton, photoelectric and pair-production events are not transported. An ideal x-ray detector and a cone beam source can be defined to reproduce an imaging system and facilitate the simulations of medical imaging applications. A 24-fold speed up factor with the GPU compared to the CPU is reported for a radiographic projection of a detailed anthropomorphic female phantom. A description of the simulation algorithm and the technical implementation in the GPU are provided. This work shows that GPUs are already a good alternative to CPUs for Monte Carlo simulation of x-ray transport.","1082-3654","978-1-4244-3961-4","10.1109/NSSMIC.2009.5402382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5402382","","X-ray imaging;Graphics;Solid modeling;Medical simulation;Packaging;Geometry;X-ray detectors;Optical imaging;Biomedical imaging;Central Processing Unit","biomedical imaging;Monte Carlo methods;radiography;X-ray detection;X-ray imaging","Monte Carlo simulation;X-ray imaging;graphics processing unit;radiation transport;CUDA¿ programming model;general purpose computations;Compton interaction model;Rayleigh interaction model;PENELOPE package;generic voxelized geometry model;X-ray detector;cone beam source;imaging system;medical imaging applications;radiographic projection;anthropomorphic female phantom;simulation algorithm;X-ray transport","","13","","12","","29 Jan 2010","","","IEEE","IEEE Conferences"
"Improving 3D lattice boltzmann method stencil with asynchronous transfers on many-core processors","M. Q. Ho; C. Obrecht; B. Tourancheau; B. D. de Dinechin; J. Hascoet","CNRS, LIG UMR 5217, Grenoble Alps University, F-38058 Grenoble, France; Univ Lyon, CNRS, INSA-Lyon, Université Claude Bernard Lyon 1, CETHIL UMR5008, F-69621 Villeurbanne, France; CNRS, LIG UMR 5217, Grenoble Alps University, F-38058 Grenoble, France; Kalray S.A., F-38330 Montbonnot, France; Kalray S.A., F-38330 Montbonnot, France","2017 IEEE 36th International Performance Computing and Communications Conference (IPCCC)","5 Feb 2018","2017","","","1","9","CPU-based many-core processors present an alternative to multicore CPU and GPU processors. In particular, the 93-Petaflops Sunway supercomputer, built from clustered many-core processors, has opened a new era for high performance computing that does not rely on GPU acceleration. However, memory bandwidth remains the main challenge for these architectures. This motivates our endeavor for optimizing one of the most data-intensive kind of stencil computations, namely the three-dimensional applications of the lattice Boltzmann method (LBM). We propose optimizations on many-cores processors by using local memory and asynchronous software-prefetching on a representative 3D LBM solver as an example. We achieve 33 % performance gain on the Kalray MPPA-256 many-core processor by actively streaming data from/to local memory, compared to the “passive” OpenCL programming model.","2374-9628","978-1-5090-6468-7","10.1109/PCCC.2017.8280472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8280472","","Three-dimensional displays;Program processors;Lattices;Computer architecture;Bandwidth;Computational modeling;Kernel","graphics processing units;lattice Boltzmann methods;multiprocessing systems;parallel processing","3D lattice Boltzmann method stencil;many-core processor cluster;LBM;asynchronous software-prefetching;representative 3D LBM solver;data streaming;OpenCL programming;Kalray MPPA-256 many-core processor;local memory;many-cores processors;stencil computations;GPU acceleration;high performance computing;93-Petaflops Sunway supercomputer;GPU processors;CPU;asynchronous transfers","","","","15","","5 Feb 2018","","","IEEE","IEEE Conferences"
"Automating CUDA Synchronization via Program Transformation","M. Wu; L. Zhang; C. Liu; S. H. Tan; Y. Zhang",Southern University of Science and Technology; University of Texas at Dallas; University of Texas at Dallas; Southern University of Science and Technology; Southern University of Science and Technology,"2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","9 Jan 2020","2019","","","748","759","While CUDA has been the most popular parallel computing platform and programming model for general purpose GPU computing, CUDA synchronization undergoes significant challenges for GPU programmers due to its intricate parallel computing mechanism and coding practices. In this paper, we propose AuCS, the first general framework to automate synchronization for CUDA kernel functions. AuCS transforms the original LLVM-level CUDA program control flow graph in a semantic-preserving manner for exploring the possible barrier function locations. Accordingly, AuCS develops mechanisms to correctly place barrier functions for automating synchronization in multiple erroneous (challenging-to-be-detected) synchronization scenarios, including data race, barrier divergence, and redundant barrier functions. To evaluate the effectiveness and efficiency of AuCS, we conduct an extensive set of experiments and the results demonstrate that AuCS can automate 20 out of 24 erroneous synchronization scenarios.","2643-1572","978-1-7281-2508-4","10.1109/ASE.2019.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952529","CUDA;program repair;synchronization automation;program transformation","Graphics processing units;Synchronization;Computer bugs;Kernel;Instruction sets;Parallel processing;Computer science","flow graphs;graphics processing units;parallel architectures;parallel programming;program processors","CUDA synchronization;program transformation;parallel computing platform;general purpose GPU computing;GPU programmers;AuCS;CUDA kernel functions;original LLVM-level CUDA;program control flow graph;multiple erroneous synchronization scenarios","","5","","60","","9 Jan 2020","","","IEEE","IEEE Conferences"
"One Size Doesn't Fit All: Quantifying Performance Portability of Graph Applications on GPUs","T. Sorensen; S. Pai; A. F. Donaldson","Princeton University, USA,UC Santa Cruz,USA; University of Rochester,USA; Imperial College London,UK","2019 IEEE International Symposium on Workload Characterization (IISWC)","19 Mar 2020","2019","","","155","166","Hand-optimising graph algorithm code for different GPUs is particularly labour-intensive and error-prone, involving complex and ill-understood interactions between GPU chips, applications, and inputs. Although the generation of optimised variants has been automated through graph algorithm DSL compilers, these do not yet use an optimisation policy. Instead they defer to techniques like autotuning, which can produce good results, but at the expense of portability. In this work, we propose a methodology to automatically identify portable optimisation policies that can be tailored (“semi-specialised”) as needed over a combination of chips, applications and inputs. Using a graph algorithm DSL compiler that targets the OpenCL programming model, we demonstrate optimising graph algorithms to run in a portable fashion across a wide range of GPU devices for the first time. We use this compiler and its optimisation space as the basis for a large empirical study across 17 graph applications, 3 diverse graph inputs and 6 GPUs spanning multiple vendors. We show that existing automatic approaches for building a portable optimisation policy fall short on our dataset, providing trivial or biased results. Thus, we present a new statistical analysis which can characterise optimisations and quantify performance trade-offs at various degrees of specialisation. We use this analysis to quantify the performance tradeoffs as portability is sacrificed for specialisation across three natural dimensions: chip, application, and input. Compared to not optimising programs at all, a fully portable approach provides a 1.15× improvement in geometric mean performance, rising to 1.29 × when specialised to application and inputs (but not hardware). Furthermore, these semi-specialised optimisations provide insights into performance-critical features of specialisation. For example, optimisations specialised by chip reveal subtle, yet performance-critical, characteristics of various GPUs.","","978-1-7281-4045-2","10.1109/IISWC47752.2019.9042139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9042139","","","graph theory;graphics processing units;program compilers;statistical analysis","hand-optimising graph algorithm code;GPU chips;graph algorithm DSL compiler;portable optimisation policies;graph algorithms;optimisation space;GPU;optimising programs;portable optimisation policy","","1","","33","","19 Mar 2020","","","IEEE","IEEE Conferences"
