"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Exploring a multi-resolution GPU programming model for Chapel","A. Hayashi; S. Raj Paul; V. Sarkar","Georgia Institute of Technology Atlanta,Georgia,USA; Georgia Institute of Technology Atlanta,Georgia,USA; Georgia Institute of Technology Atlanta,Georgia,USA","2020 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","28 Jul 2020","2020","","","675","675","There is a growing need to support accelerators, especially GPU accelerators, since they are a common source of performance improvement in HPC clusters. As for GPU programming with Chapel, typically programmers first start with writing forall loops and run these loops on CPUs as a proof-of-concept. If the resulting CPU performance is not sufficient for their needs, their next step could be to try the automatic compiler-based GPU code generation techniques [1], [2]. For portions that remain as performance bottlenecks, even after automatic compilation approaches, the next step is to consider writing GPU kernels using CUDA/HIP/OpenCL and invoking these kernels from the Chapel program using the GPUIterator [3], [4] and Chapel's C interoperability feature.","","978-1-7281-7445-7","10.1109/IPDPSW50202.2020.00117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150427","","Graphics processing units;Programming;Kernel;Data transfer;Optimization;Conferences;Writing","parallel architectures;parallel programming;program compilers;public domain software","automatic compilation;GPU kernels;Chapel program;multiresolution GPU programming model;GPU accelerators;HPC clusters;forall loops;Chapel C interoperability feature;automatic compiler-based GPU code generation;CUDA;OpenCL;HIP","","","","6","","28 Jul 2020","","","IEEE","IEEE Conferences"
"GPU Assist using DSP Pre-processor","M. Mody; H. Hariyani; A. Balagopalakrishnan; J. Jones; A. Jayaraj; Y. A. Prithvishankar","Texas Instruments Inc,Embedded Automotive Processor Business; Texas Instruments Inc,Embedded Automotive Processor Business; Texas Instruments Inc,Embedded Automotive Processor Business; Texas Instruments Inc,Embedded Automotive Processor Business; Texas Instruments Inc,Embedded Automotive Processor Business; Texas Instruments Inc,Embedded Automotive Processor Business","2020 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","16 Sep 2020","2020","","","1","4","There is an ever increasing need for higher GPU performance to render sophisticated User Interface, latest high end 3D games and general purpose compute (GPGPU) applications. GPU SW programming models such as OpenGL have evolved over decades to cater to the unique mixed pipeline 3D GPU architectures. Due to the sticky nature of GPU SW programming model, leveraging other HW blocks to enhance graphics performance has been a most challenging task for SW architects. System designers have usually responded to the GFLOPS demand by increasing the GPU HW specifications. This paper proposes enhancing GPU performance by leveraging DSP transparently in background without impacting GPU software programming model. The proposed solution consists of multiple novel techniques namely ability to offload vertex shader to DSP, 3 stage pipelined execution and ability to re-use GPU internal pipeline. The proposed solution is prototyped in Jacinoto6 Platform from Texas Instruments. The default GPU spec performance is increased by up-to 41% by leveraging dual core C66x DSP in Jacinto6 Platform using proposed solution for different use-cases. The proposed solution is fully transparent to application software stack. In addition, the solution is directly applicable to any GPU + DSP architecture making it attractive approach for cost optimized solutions.","","978-1-7281-6828-9","10.1109/CONECCT50063.2020.9198650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9198650","GPU;GPGPU;GLOPS;Shader;OpenGL;Vulkan DSP;Jacinto","Graphics processing units;Pipeline processing;Pipelines;Programming;Random access memory;Context","digital signal processing chips;graphics processing units;pipeline processing","3D games;general purpose compute applications;GPU SW programming model;graphics performance;GPU HW specifications;GPU software programming model;3 stage pipelined execution;default GPU spec performance;DSP architecture;GPU performance;user interface;GPU internal pipeline;3D GPU architectures;DSP preprocessor;OpenGL;GFLOPS;vertex shader;Jacinoto6 platform;dual core C66x DSP;Jacinto6 platform","","1","","8","","16 Sep 2020","","","IEEE","IEEE Conferences"
"GPU Computing Pipeline Inefficiencies and Optimization Opportunities in Heterogeneous CPU-GPU Processors","J. Hestness; S. W. Keckler; D. A. Wood",NA; NA; NA,"2015 IEEE International Symposium on Workload Characterization","2 Nov 2015","2015","","","87","97","Emerging heterogeneous CPU-GPU processors have introduced unified memory spaces and cache coherence. CPU and GPU cores will be able to concurrently access the same memories, eliminating memory copy overheads and potentially changing the application-level optimization targets. To date, little is known about how developers may organize new applications to leverage the available, finer-grained communication in these processors. However, understanding potential application optimizations and adaptations is critical for directing heterogeneous processor programming model and architectural development. This paper quantifies opportunities for applications and architectures to evolve to leverage the new capabilities of heterogeneous processors. To identify these opportunities, we ported and simulated a broad set of benchmarks originally developed for discrete GPUs to remove memory copies, and applied analytical models to quantify their application-level pipeline inefficiencies. For existing benchmarks, GPU bulk-synchronous software pipelines result in considerable core and cache utilization inefficiency. For heterogeneous processors, the results indicate increased opportunity for techniques that provide flexible compute and data granularities, and support for efficient producer-consumer data handling and synchronization within caches.","","978-1-5090-0088-3","10.1109/IISWC.2015.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7314150","GPGPU;GPU computing;heterogeneous processors;benchmarking","Graphics processing units;Benchmark testing;Kernel;Optimization;Pipelines;Synchronization","graphics processing units;memory architecture;optimisation;pipeline processing","GPU computing pipeline inefficiency;optimization opportunity;heterogeneous CPU-GPU processor;unified memory space;cache coherence;CPU core;GPU core;memory copy overhead;application-level optimization;finer-grained communication;heterogeneous processor programming model;architectural development;application-level pipeline inefficiency;GPU bulk-synchronous software pipeline","","19","2","38","","2 Nov 2015","","","IEEE","IEEE Conferences"
"Poster: Acceleration of the BLAST Hydro Code on GPU","T. Dong; T. Kolev; R. Rieben; V. Dobrev","Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, USA; Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, USA; Lawrence Livermore Nat. Lab., Livermore, USA; Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, USA","2012 SC Companion: High Performance Computing, Networking Storage and Analysis","11 Apr 2013","2012","","","1337","1337","The BLAST code implements a high-order numerical algorithm that solves the equations of compressible hydrodynamics using the Finite Element Method in a moving Lagrangian frame. BLAST is coded in C++ and parallelized by MPI. We accelerate the most computationally intensive parts (80%-95%) of BLAST on an NVIDIA GPU with the CUDA programming model. Several 2D and 3D problems were tested and a maximum speedup of 4.3x was delivered. Our results demonstrate the validity and capability of GPU computing.","","978-0-7695-4956-9","10.1109/SC.Companion.2012.172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6495955","GPU;CFD;FEM","","application program interfaces;C++ language;compressible flow;computational fluid dynamics;finite element analysis;graphics processing units;hydrodynamics;message passing;parallel programming","GPU computing;NVIDIA GPU;compute unified device architecture;CUDA programming model;parallelization;message passing interface;MPI;C++ language;moving Lagrangian frame;finite element method;compressible hydrodynamics;high-order numerical algorithm;graphics processing unit;BLAST hydro code","","","","","","11 Apr 2013","","","IEEE","IEEE Conferences"
"Accelerating Kirchhoff Migration on GPU Using Directives","R. Xu; M. Hugues; H. Calandra; S. Chandrasekaran; B. Chapman","Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA; TOTAL E&P Res. & Technol. USA, Houston, TX, USA; TOTAL E&P Res. & Technol. USA, Houston, TX, USA; Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA; Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA","2014 First Workshop on Accelerator Programming using Directives","9 Apr 2015","2014","","","37","46","Accelerators offer the potential to significantly improve the performance of scientific applications when offloading compute intensive portions of programs to the accelerators. However, effectively tapping their full potential is difficult owing to the programmability challenges faced by the users when mapping computation algorithms to the massively parallel architectures such as GPUs.Directive-based programming models offer programmers an option to rapidly create prototype applications by annotating region of code for offloading with hints to the compiler. This is critical to improve the productivity in the production code. In this paper, we study the effectiveness of a high-level directivebased programming model, OpenACC, for parallelizing a seismic migration application called Kirchhoff Migration on GPU architecture. Kirchhoff Migration is a real-world production code in the Oil & Gas industry. Because of its compute intensive property, we focus on the computation part and explore different mechanisms to effectively harness GPU's computation capabilities and memory hierarchy. We also analyze different loop transformation techniques in different OpenACC compilers and compare their performance differences. Compared toone socket (10 CPU cores) on the experimental platform, one GPU achieved a maximum speedup of 20.54x and 6.72x for interpolation and extrapolation kernel functions.","","978-1-4673-6753-0","10.1109/WACCPD.2014.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081676","OpenACC; Kirchhoff Migration; GPU; Directives; Programming Model","Graphics processing units;Interpolation;Kernel;Programming;Extrapolation;Computer architecture;Computational modeling","extrapolation;geophysics computing;graphics processing units;interpolation;parallel architectures;program compilers;seismology","Kirchhoff migration;accelerator;compute intensive portion;programmability challenges;computation algorithm;parallel architecture;directive-based programming model;productivity;high-level directive based programming model;seismic migration application;GPU architecture;real-world production code;oil & gas industry;compute intensive property;GPU computation capability;memory hierarchy;loop transformation technique;OpenACC compiler;interpolation kernel function;extrapolation kernel function","","5","","18","","9 Apr 2015","","","IEEE","IEEE Conferences"
"GPU parallel computing architecture and CUDA programming model","J. Nickolls",NA,"2007 IEEE Hot Chips 19 Symposium (HCS)","4 Jul 2016","2007","","","1","12","This article consists of a collection of slides from the author's conference presentation on NVIDIA's CUDA programming model (parallel computing platform and application programming interface) via graphical processing units (GPU). Some of the specific topics discussed include: the special features of GPUs; the importance of GPU computing; system specifications and architectures; processing capabilities; parallel memory sharing; CUDA programming models; transparent scalability; and major applications supported.","","978-1-4673-8869-6","10.1109/HOTCHIPS.2007.7482491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7482491","","Instruction sets;Graphics processing units;Parallel processing;Computer architecture;Programming;Computational modeling","application program interfaces;graphics processing units;parallel architectures","GPU parallel computing architecture;NVIDIA CUDA programming models;parallel computing platform;application programming interface;graphical processing units;parallel memory sharing;transparent scalability","","14","1","","","4 Jul 2016","","","IEEE","IEEE Conferences"
"Kernel Fusion/Decomposition for Automatic GPU-Offloading","A. Mishra; M. Kong; B. Chapman","Stony Brook University, USA; Brookhaven National Laboratory, USA; Stony Brook University, USA","2019 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","7 Mar 2019","2019","","","283","284","The massively parallel architecture of GPU accelerators are being harnessed to expedite computational workloads in cutting edge scientific research. Unfortunately writing applications for GPUs requires extensive knowledge of the underlying architecture, the application and the interfacing programming model. Moreover, (re-)writing kernels using lower-level programming models such as CUDA and OpenCL is a burden for application scientists. A more appealing strategy is to leverage a programming model layered on directive-based optimization: OpenMP, whose recent specification significantly extends its accelerator functionalities. Despite this, it is still quite challenging to optimize large scale applications, since “pragmatizing” each kernel is a repetitive and complex task. In large scale applications most of the operations could be small, don't have enough computational work to justify a GPU execution, deeply buried in the library specification, or evenly spread throughout the application. Thus, we seek to design and build a compiler framework that can automatically and profitably offload regions of code with these characteristics. The driving principle of our work resides in generating numerous kernel variants that result from fusing and/or decomposing existing function bodies. We analyze the program's call graph to determine the “proximity” of kernel calls and evaluate the degree of data reuse among adjacent or “close-enough” calls. When such patterns are detected we generate several scenarios, until producing a single variant whose footprint is near the capacity of the GPU. To compare the potential performance among the various kernel variants generated, we are designing an adaptive cost model. The precision of this cost model will depend upon the analyzability of the program. We are also building upon existing cost models like Baghsorkhi et al.'s model which proposed a work flow graph based analytical model and a recent Hong et al.'s model which propose the use of abstract kernel emulations to help identify the performance bottlenecks of a GPU program execution. Along with these we introduce GPU initialization and data transfer cost to the model. Once the profitable kernel variants are detected, we automatically insert pertinent OpenMP directives and provide a newly generated code supporting GPU offloading.","","978-1-7281-1436-1","10.1109/CGO.2019.8661188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661188","","Kernel;Graphics processing units;Adaptation models;Computational modeling;Analytical models;Programming;Libraries","application program interfaces;coprocessors;graphics processing units;message passing;optimisation;parallel architectures;parallel programming;program compilers","lower-level programming models;application scientists;directive-based optimization;accelerator functionalities;repetitive task;complex task;GPU execution;library specification;kernel calls;adaptive cost model;work flow graph;abstract kernel emulations;GPU program execution;data transfer cost;profitable kernel variants;pertinent OpenMP directives;kernel fusion/decomposition;automatic GPU-offloading;massively parallel architecture;GPU accelerators;computational workloads;edge scientific research;interfacing programming model;writing kernels;generated code;automatic GPU offloading","","3","","8","","7 Mar 2019","","","IEEE","IEEE Conferences"
"Research on Tool Path Planning Method of NURBS Surface Based on CPU-GPU Parallel Computing","W. Yu; Y. Bi; Z. Li","Sch. of Autom., Hangzhou Univ. of Electron. Sci. & Technol., Hangzhou, China; Sch. of Autom., Hangzhou Univ. of Electron. Sci. & Technol., Hangzhou, China; Sch. of Autom., Hangzhou Univ. of Electron. Sci. & Technol., Hangzhou, China","2017 International Conference on Computer Network, Electronic and Automation (ICCNEA)","7 Dec 2017","2017","","","85","88","In order to deal with the inefficiency of trational serial tool path algorithms and incompatibility issues on the heterogeneous hardware platforms, this paper suggests a tool path planning method based on CPU-GPU(Central Processing Unit-Graphic Processing Unit) heterogeneous parallel computing. The method contra poses NURBS(Non-Uniform Rational B-Splines) surface which is abstracted as a matrix multiplication on the principle of isoparametric line tool path planning method. Then a parallel algorithm in accordance with Open CL(Open Computing Language) specification is proposed. Adopting data parallel programming model, the method executes multiple work-items of the GPU on the core under control of the CPU logic, and reconstructs the isoparametric line method as parallel execution instead of traditional serial execution. Simulation results show that this algorithm takes less time to generate tool paths on the CPU-GPU heterogeneous platforms, reduced by 1.5 to 15.9 times compared with traditional serial algorithm and it is of great significance to the tool path planning's real-time or quasi real-time generation.","","978-1-5386-3981-8","10.1109/ICCNEA.2017.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8128535","Component;Nurbs surfaces;OpenCL;Parallel computing;Tool path planning;CPU-GPU","Tools;Graphics processing units;Path planning;Parallel processing;Splines (mathematics);Surface topography;Surface reconstruction","graphics processing units;parallel programming;path planning;splines (mathematics)","CPU logic;CPU-GPU heterogeneous platforms;traditional serial algorithm;Nurbs surface;CPU-GPU parallel computing;heterogeneous hardware platforms;parallel algorithm;serial tool path algorithms;Central Processing Unit-Graphic Processing Unit;NonUniform Rational B-Splines surface;isoparametric line tool path planning;Open CL;Open Computing Language;data parallel programming model","","1","","11","","7 Dec 2017","","","IEEE","IEEE Conferences"
"GPU programming for EDA with OpenCL","R. O. Topaloglu; B. Gaster","GLOBALFOUNDRIES, 840 N McCarthy Blvd, Milpitas CA 95035; Advanced Micro Devices, 1 AMD Pl, Sunnyvale CA 94085","2011 IEEE/ACM International Conference on Computer-Aided Design (ICCAD)","15 Dec 2011","2011","","","63","66","Graphical processing unit (GPU) computing has been an interesting area of research in the last few years. While initial adapters of the technology have been from image processing domain due to difficulties in programming the GPUs, research on programming languages made it possible for people without the knowledge of low-level programming languages such as OpenGL develop code on GPUs. Two main GPU architectures from AMD (former ATI) and NVIDIA acquired grounds. AMD adapted Stanford's Brook language and made it into an architecture-agnostic programming model. NVIDIA, on the other hand, brought CUDA framework to a wide audience. While the two languages have their pros and cons, such as Brook not being able to scale as well and CUDA having to account for architectural-level decisions, it has not been possible to compile one code on another architecture or across platforms. Another opportunity came with the introduction of the idea of combining one or more CPUs and GPUs on the same die. Eliminating some of the interconnection bandwidth issues, this combination makes it possible to offload tasks with high parallelism to the GPU. The technological direction towards multicores for CPU-only architectures also require a programming methodology change and act as a catalyst for suitable programming languages. Hence, a unified language that can be used both on multiple core CPUs as well as GPUs and their combinations has gained interest. Open Computing Language (OpenCL), developed originally by the Khronos Group of Apple and supported by both AMD and NVIDIA, is seen as the programming language of choice for parallel programming. In this paper, we provide a motivation for our tutorial talk on usage of OpenCL for GPUs and highlight key features of the language. We provide research directions on OpenCL for EDA. In our tutorial talk, we use EDA as our application domain to get the readers started with programming the rising language of parallelism, OpenCL.","1558-2434","978-1-4577-1400-9","10.1109/ICCAD.2011.6105306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6105306","GPU;GPGPU;OpenCL;EDA;CAD;algorithms","Graphics processing unit;Programming;Kernel;Multicore processing;Design automation;Algorithm design and analysis","graphics processing units;parallel programming;programming languages","GPU programming;EDA;OpenCL;graphical processing unit computing;image processing domain;research on programming language;low-level programming languages;OpenGL;GPU architecture;AMD;NVIDIA;Stanford Brook language;architecture-agnostic programming model;CUDA framework;architectural-level decisions;unified language;open computing language;parallel programming","","1","","17","","15 Dec 2011","","","IEEE","IEEE Conferences"
"Reflection removal using ghosting cues based on GPU via CUDA","M. Liao; C. Lv; G. Li; J. Lin; X. Gao","Software School, Xiamen University, Xiamen, Fujian, P.R. China; Software School, Xiamen University, Xiamen, Fujian, P.R. China; Software School, Xiamen University, Xiamen, Fujian, P.R. China; Software School, Xiamen University, Xiamen, Fujian, P.R. China; Software School, Xiamen University, Xiamen, Fujian, P.R. China","2016 11th International Conference on Computer Science & Education (ICCSE)","6 Oct 2016","2016","","","814","817","Reflections of windows or glass panes always destroy the photograph that we want to take by camera or phone. The purpose of this paper is to study and put forward a reflection removal algorithm based on GPU. The algorithm is not simply transplanted from CPU onto GPU. In order to make it adapted to the GPU architecture and programming model, we improve on the original method and the improved algorithm is more efficient by using GPU resources sufficiently. Experimental results show that the algorithm of this paper is effective and efficient. The GPU-based implementation is faster (up to 18 times) than the CPU-based implementation.","","978-1-5090-2218-2","10.1109/ICCSE.2016.7581687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7581687","reflection removal;parallel computation;GPU;CUDA","Reflection;Graphics processing units;Algorithm design and analysis;Windows;Glass;Parallel processing","graphics processing units;image restoration;parallel architectures;reflection","reflection removal algorithm;ghosting cues;GPU architecture;CUDA;window reflections;glass pane reflections;photographs;programming model;image restoration","","1","","22","","6 Oct 2016","","","IEEE","IEEE Conferences"
"Hybrid Parallel Programming on GPU Clusters","C. Yang; C. Huang; C. Lin; T. Chang","Dept. of Comput. Sci., Tunghai Univ., Taichung, Taiwan; Dept. of Comput. Sci., Tunghai Univ., Taichung, Taiwan; Dept. of Comput. Sci., Tunghai Univ., Taichung, Taiwan; Dept. of Comput. Sci., Tunghai Univ., Taichung, Taiwan","International Symposium on Parallel and Distributed Processing with Applications","11 Nov 2010","2010","","","142","147","Nowadays, NVIDIA's CUDA is a general purpose scalable parallel programming model for writing highly parallel applications. It provides several key abstractions - a hierarchy of thread blocks, shared memory, and barrier synchronization. This model has proven quite successful at programming multithreaded many core GPUs and scales transparently to hundreds of cores: scientists throughout industry and academia are already using CUDA to achieve dramatic speedups on production and research codes. In this paper, we propose a hybrid parallel programming approach using hybrid CUDA and MPI programming, which partition loop iterations according to the number of C1060 GPU nodes in a GPU cluster which consists of one C1060 and one S1070. Loop iterations assigned to one MPI process are processed in parallel by CUDA run by the processor cores in the same computational node.","2158-9208","978-1-4244-8095-1","10.1109/ISPA.2010.97","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5634329","CUDA;GPU;MPI;OpenMP;hybrid;parallel programming","Graphics processing unit;Instruction sets;Parallel processing;Parallel programming;Computational modeling;Linux","computer graphic equipment;coprocessors;message passing;parallel programming","hybrid parallel programming;NVIDIA CUDA programming model;graphics processing units;multithreaded programming;message passing interface;loop iterations;C1060 GPU cluster;S1070 GPU cluster","","4","","18","","11 Nov 2010","","","IEEE","IEEE Conferences"
"GPU-accelerated parallel algorithms for map algebra","Jianbo Zhang; Wenxin Yang; Jing Sun; Yonghong Lv","Department of Software Engineering, Faculty of Information Engineering, China University of Geoscience, Wuhan, China; Department of Software Engineering, Faculty of Information Engineering, China University of Geoscience, Wuhan, China; Department of Software Engineering, Faculty of Information Engineering, China University of Geoscience, Wuhan, China; Department of Software Engineering, Faculty of Information Engineering, China University of Geoscience, Wuhan, China","2010 The 2nd Conference on Environmental Science and Information Application Technology","9 Sep 2010","2010","1","","882","885","Aiming at the low efficiency when traditional realization methods of map algebra apply to calculations for gigantic raster data, this paper maps the traditional serial algorithms to GPU parallel processing architecture on a new parallel programming model of GPU named Compute Unified Device Architecture. The paper also aims to discuss the realization mechanism surrounding parallel mapping methods from traditional serial algorithms to parallel algorithms and adaptive-parameter adjustments on computer graphic processor resources.","","978-1-4244-7390-8","10.1109/ESIAT.2010.5567202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5567202","Map Algebra;GPU;CUDA;Parallel Computation","Graphics processing unit;Algebra;Instruction sets;Computer architecture;Computational modeling;Hardware;Parallel processing","geographic information systems;mathematics computing;parallel algorithms;parallel architectures;parallel programming","GPU-accelerated parallel algorithms;map algebra;serial algorithms;GPU parallel processing architecture;parallel programming model;Compute Unified Device Architecture;adaptive-parameter adjustments;computer graphic processor","","2","","10","","9 Sep 2010","","","IEEE","IEEE Conferences"
"Abstract: GPU Accelerated Ultrasonic Tomography Using Propagation and Backpropagation Method","P. D. Bello; Y. Jin; E. Lu","Dept. of Electr. & Comput. Eng., Florida Int. Univ., Miami, FL, USA; Dept. of Eng. & Aviation Sci., Univ. of Maryland Eastern Shore, Princess Anne, MD, USA; Dept. of Math. & Comput. Sci., Salisbury Univ., Salisbury, MD, USA","2012 SC Companion: High Performance Computing, Networking Storage and Analysis","11 Apr 2013","2012","","","1445","1446","This paper develops implementation strategy and method to accelerate the propagation and backpropagation (PBP) tomographic imaging algorithm using Graphic Processing Units (GPUs). The Compute Unified Device Architecture (CUDA) programming model is used to develop our parallelized algorithm since the CUDA model allows the user to interact with the GPU resources more efficiently than traditional shader methods. The results show an improvement of more than 80x when compared to the C/C++ version of the algorithm, and 515x when compared to the MATLAB version while achieving high quality imaging for both cases. We test different CUDA kernel configurations in order to measure changes in the processing-time of our algorithm. By examining the acceleration rate and the image quality, we develop an optimal kernel configuration that maximizes the throughput of CUDA implementation for the PBP method.","","978-0-7695-4956-9","10.1109/SC.Companion.2012.248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496031","Medical Imaging;Ultrasonic Tomography;GPU;CUDA;Parallel Computing","","acoustic tomography;backpropagation;computerised tomography;graphics processing units;medical image processing;parallel algorithms;parallel architectures;ultrasonic imaging","parallel computing;medical imaging;PBP method;optimal kernel configuration;image quality;acceleration rate;CUDA kernel configuration;MATLAB version;shader method;GPU resource;parallelized algorithm;CUDA programming model;compute unified device architecture;graphic processing unit;PBP tomographic imaging algorithm;propagation and backpropagation tomographic imaging algorithm;GPU accelerated ultrasonic tomography","","","","5","","11 Apr 2013","","","IEEE","IEEE Conferences"
