"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Experiences with OpenMP, PGI, HMPP and OpenACC Directives on ISO/TTI Kernels","S. Ghosh; T. Liao; H. Calandra; B. M. Chapman","Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA; TOTAL E&P R&T USA, LLC, Houston, TX, USA; TOTAL E&P, Pau, France; Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA","2012 SC Companion: High Performance Computing, Networking Storage and Analysis","11 Apr 2013","2012","","","691","700","GPUs are slowly becoming ubiquitous devices in High Performance Computing, as their capabilities to enhance the performance per watt of compute intensive algorithms as compared to multicore CPUs have been identified. The primary shortcoming of a GPU is usability, since vendor specific APIs are quite different from existing programming languages, and it requires a substantial knowledge of the device and programming interface to optimize applications. Hence, lately a growing number of higher level programming models are targeting GPUs to alleviate this problem. The ultimate goal for a high-level model is to expose an easy-to-use interface for the user to offload compute intensive portions of code (kernels) to the GPU, and tune the code according to the target accelerator to maximize overall performance with a reduced development effort. In this paper, we share our experiences of three of the notable high-level directive based GPU programming models - PGI, CAPS and OpenACC (from CAPS and PGI) on an Nvidia M2090 GPU. We analyze their performance and programmability against Isotropic (ISO)/Tilted Transversely Isotropic (TTI) finite difference kernels, which are primary components in the Reverse Time Migration (RTM) application used by oil and gas exploration for seismic imaging of the sub-surface. When ported to a single GPU using the mentioned directives, we observe an average 1.5-1.8x improvement in performance for both ISO and TTI kernels, when compared with optimized multi-threaded CPU implementations using OpenMP.","","978-0-7695-4956-9","10.1109/SC.Companion.2012.95","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6495877","GPGPU;OpenMP;OpenACC;PGI;CAPS;HMPP;ISO;TTI;Finite Difference Stencils;RTM","","finite difference methods;graphics processing units;multiprocessing systems;parallel processing;user interfaces","OpenMP directive;PGI directive;HMPP directive;OpenACC directive;GPU;graphics processing unit;high performance computing;compute intensive algorithm;multicore CPU;vendor specific API;application program interface;programming language;programming interface;easy-to-use user interface;Nvidia M2090 GPU;GPU programming model;isotropic kernel;tilted transversely isotropic kernel;ISO-TTI finite difference kernel;reverse time migration;RTM application","","6","","11","","11 Apr 2013","","","IEEE","IEEE Conferences"
"Evaluating Multi-core and Many-Core Architectures through Parallelizing a High-Order WENO Solver","L. Deng; H. Bai; D. Zhao; F. Wang","China Aerodynamics R&D Center, Comput. Aerodynamics Inst., Mianyang, China; China Aerodynamics R&D Center, Comput. Aerodynamics Inst., Mianyang, China; China Aerodynamics R&D Center, Comput. Aerodynamics Inst., Mianyang, China; Sch. of Comput., Nat. Univ. of Defense Technol., Changsha, China","2016 IEEE Trustcom/BigDataSE/ISPA","9 Feb 2017","2016","","","2167","2174","This paper studies the implementation and optimization of a high-order weighted essentially non-oscillatory (WENO) solver to the solution of the Euler equations on the multi-core and many-core architectures (Intel Ivy Bridge CPU, Intel Xeon Phi 7110P coprocessor and NVIDIA Kepler K20c GPU). The implementation of up to ninth-order accurate WENO schemes is used in the solver. For the GPU platform, both the OpenACC-based and CUDA-based versions of different WENO schemes are developed. To achieve high performance, various optimizatin techniques are used. For Ivy Bridge CPU and MIC, we focus on three categories of optimization techniques: thread parallelism for multi-/many-core scaling, data parallelism to exploit the SIMD mechanism and improving on-chip data reuse, to maximize the performance. Also, we provide an in-depth analysis on the performance differences between Ivy Bridge and MIC. The numerical experiments show that the OpenACC performance can reach up to 84% in contrast to CUDA performance with careful manual optimizations, and the proposed CUDA-based version can achieve a speedup of 9.0 on a Kepler GPU in comparison with the sequential run. We also notice that the speedups of different WENO schemes roughly reach 15.9 and 192.2 on the two Ivy Bridge CPUs and the MIC, respectively. Besides, we conduct a systematic comparison of the three platforms in three aspects: performance, programmability, and power efficiency. Our insights facilitate the programmers to select the right platform with a suitable programming model according to their target applications.","2324-9013","978-1-5090-3205-1","10.1109/TrustCom.2016.0333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7847216","high-order;WENO solver;Euler equations;performance;programmability;optimization techniques;power efficiency;Ivy Bridge;MIC;GPU;CUDA;OpenACC","Graphics processing units;Mathematical model;Optimization;Programming;Bridges;Microwave integrated circuits;Computer architecture","differential equations;graphics processing units;multiprocessing systems;optimisation;parallel architectures","multicore architecture evaluation;many-core architecture evaluation;high-order WENO solver;high-order weighted essentially nonscillatory solver;Euler equations;Intel Ivy Bridge CPU;Intel Xeon Phi 7110P coprocessor;NVIDIA Kepler K20c GPU;OpenACC-based version;CUDA-based version;optimization techniques;thread parallelism;data parallelism;multicore scaling;many-core scaling;SIMD mechanism;on-chip data reuse improvement;programming model","","1","","22","","9 Feb 2017","","","IEEE","IEEE Conferences"
"A customizable MapReduce framework for complex data-intensive workflows on GPUs","Z. Qiao; Shuwen Liang; H. Jiang; Song Fu","Department of Computer Science and Engineering, University of North Texas, United States of America; Department of Computer Science and Engineering, University of North Texas, United States of America; Department of Computer Science, Arkansas State University, United States of America; Department of Computer Science and Engineering, University of North Texas, United States of America","2015 IEEE 34th International Performance Computing and Communications Conference (IPCCC)","18 Feb 2016","2015","","","1","8","The MapReduce programming model has been widely used in big data and cloud applications. Criticism on its inflexibility when being applied to complicated scientific applications recently emerges. Several techniques have been proposed to enhance its flexibility. However, some of them exert special requirements on applications, while others fail to support the increasingly popular coprocessors, such as Graphics Processing Unit (GPU). In this paper, we propose MR-Graph, a customizable and unified framework for GPU-based MapReduce, which aims to improve the flexibility and performance of MapReduce. MR-Graph addresses the limitations and restrictions of the traditional MapReduce execution paradigm. The three execution modes integrated in MR-Graph facilitates users to write their applications in a more flexible fashion by defining a Map and Reduce function call graph. MR-Graph efficiently explores the memory hierarchy in GPUs to reduce the data transfer overhead between execution stages and accommodate big data applications.We have implemented a prototype of MR-Graph and experimental results show the effectiveness of using MR-Graph for flexible and scalable GPU-based MapReduce computing.","2374-9628","978-1-4673-8590-9","10.1109/PCCC.2015.7410298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7410298","MapReduce;GPU;Customizable;Data Intensive;Iterative;Recursive","Graphics processing units;Programming;Computational modeling;Data models;Parallel processing;Big data;Computer architecture","Big Data;cloud computing;graph theory;graphics processing units;parallel processing","customizable MapReduce framework;complex data-intensive workflows;MapReduce programming model;big data applications;cloud applications;graphics processing unit;MR-Graph;MapReduce execution paradigm;map and reduce function call graph;memory hierarchy;data transfer overhead;big data applications;GPU-based MapReduce computing","","2","","18","","18 Feb 2016","","","IEEE","IEEE Conferences"
"Human Skin Colour Detection Algorithm Optimization with CUDA","D. Ghorpade; A. D. Thakare","Dept. of Computer Engineering Pimpri Chinchwad College of Engineering, Pune, India; Dept. of Computer Engineering Pimpri Chinchwad College of Engineering, Pune, India","2017 International Conference on Computing, Communication, Control and Automation (ICCUBEA)","13 Sep 2018","2017","","","1","6","This Human Skin Colour detection is analyzed to be a most suitable and strong cue for face detection and face recognition which finds various application in domain like surveillance, face biometrics, gesture recognition, interactive game application and many other. These applications require fast image processing in real time and demands enormously high performance with respect to time and processing speed. Earlier work done on sequential architecture does not provide required capability and can be achieved by parallel programming. As Image processing applications shows high degree of parallelism, they prove excellent source for multi-core platform. We can use GPU multithreaded parallel computing techniques to improve the speed of image processing. The paper proposes a data parallelism programming model for Human Skin Colour Detection algorithm. The objective is to increase the computational speed of the algorithm through data parallelism using CUDA framework. The framework is supported by OpenCV libraries and implemented by GPU (Graphics Processing Unit). The evaluation is done on basis of comparative analysis of serial and parallel programming computing. The pixel based Explicitly Defined Region skin classifier is used and RGB colour space is chosen due to its wider use in storing and processing of digital image data. To gain substantial acceleration in image computations, skin classifier code is off-loaded to GPU having compute capacity of 3.5 and rest of code is executed on CPU. We have tested module on static images, as well as on live camera captured images. SFA standard dataset is utilized to evaluate performance. Speedup of 23.45% was achieved using parallel programming.","","978-1-5386-4008-1","10.1109/ICCUBEA.2017.8464010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464010","Human skin colour;GPU;Image processing;CUDA;Parallel processing;Colour space;RGB colour space;Skin classifier","Graphics processing units;Image color analysis;Skin;Instruction sets;Parallel processing;Computational modeling;Kernel","face recognition;graphics processing units;image classification;image colour analysis;multiprocessing systems;multi-threading;object detection","image processing applications;graphics processing unit;OpenCV libraries;pixel based explicitly defined region skin classifier;digital image data storage;SFA standard dataset;live camera captured images;static images;skin classifier code;image computations;RGB colour space;CUDA framework;computational speed;data parallelism programming model;GPU multithreaded parallel computing techniques;multicore platform;parallel programming;processing speed;fast image processing;interactive game application;gesture recognition;face biometrics;face recognition;face detection","","","","20","","13 Sep 2018","","","IEEE","IEEE Conferences"
"A way for accelerating DNA sequences reconstruction problem based on CUDA","Y. Zhong; J. Lin; B. Wang; C. Tao; X. Wen; C. Nian","Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China; Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China; Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China; Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China; Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China; Computer Science and Engineering Department, Sichuan University Jinjiang College, Penshan 620860, China","2014 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","1 Dec 2014","2014","","","151","157","Traditionally, shotgun for DNA sequences alignment is one of the main method of bioinformatics. It is used to break a long DNA sequence into small fragments. This paper introduces a new method to improve the efficiency of DNA sequence reconstruction after shotgun method using construction suffix array based on CUDA programming model. The experimental results show the construction of suffix array using GPU is an more efficient approach on Intel(R) Core(TM) i3-3110K quad-core and NVIDIA GeForce 610M GPU. Consequently, The experiment presents the efficiency of GPU performance compared with CPU performance, and study shows the method is more than 20 times speedup than that of CPU serial implementation.","","978-1-4799-3080-7","10.1109/ICACCI.2014.6968196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6968196","CUDA;GPU;shotgun method;superstring;DNA sequence reassemble;suffix array;radix sort","DNA;Graphics processing units;Arrays","bioinformatics;DNA;graphics processing units;parallel architectures","DNA sequences reconstruction problem;DNA sequences alignment;bioinformatics;long DNA sequence;DNA sequence reconstruction;shotgun method;construction suffix array;CUDA programming model;Intel Core i3-3110K quadcore;NVIDIA GeForce 610M GPU","","","","13","","1 Dec 2014","","","IEEE","IEEE Conferences"
"Accelerating data clustering on GPU-based clusters under shared memory abstraction","K. I. Karantasis; E. D. Polychronopoulos; G. N. Dimitrakopoulos","High Performance Information Systems Lab, School of Computer Engineering and Informatics, University of Patras, Rio, Greece 26500; High Performance Information Systems Lab, School of Computer Engineering and Informatics, University of Patras, Rio, Greece 26500; High Performance Information Systems Lab, School of Computer Engineering and Informatics, University of Patras, Rio, Greece 26500","2010 IEEE International Conference On Cluster Computing Workshops and Posters (CLUSTER WORKSHOPS)","28 Oct 2010","2010","","","1","5","Many-core graphics processors are playing today an important role in the advancements of modern highly concurrent processors. Their ability to accelerate computation is being explored under several scientific fields. In the current paper we present the acceleration of a widely used data clustering algorithm, K-means, in the context of high performance GPU clusters. As opposed to most related implementation efforts that use MPI to port their target applications on a GPU cluster, our implementation follows the Software Distributed Shared Memory (SDSM) paradigm in order to distribute information and computation across the accelerator cluster. In order to investigate the efficiency of a programming model that offers shared memory abstraction on GPU clusters we present two implementations, one that is based on a SDSM implementation of OpenMP and another that utilizes the Pleiad cluster middleware on top of the Java platform. The first results show that such an implementation is feasible in order to accelerate a broad category of large scale, data intensive applications, among which K-means is a characteristic case.","","978-1-4244-8396-9","10.1109/CLUSTERWKSP.2010.5613079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5613079","","Graphics processing unit;Clustering algorithms;Programming;Middleware;Acceleration;Graphics","data handling;distributed shared memory systems;message passing;multiprocessing programs;pattern clustering","data clustering;GPU-based clusters;shared memory abstraction;many-core graphics processors;concurrent processors;K-means algorithm;MPI;software distributed shared memory;OpenMP","","6","","24","","28 Oct 2010","","","IEEE","IEEE Conferences"
"Design and evaluation of a parallel k-nearest neighbor algorithm on CUDA-enabled GPU","S. Liang; Y. Liu; C. Wang; L. Jian","Graduate University of Chinese Academy of Sciences, Beijing, 100190, China; Graduate University of Chinese Academy of Sciences, Beijing, 100190, China; Agilent Technologies, Beijing, 100102, China; Graduate University of Chinese Academy of Sciences, Beijing, 100190, China","2010 IEEE 2nd Symposium on Web Society","21 Oct 2010","2010","","","53","60","Recent developments in Graphics Processing Units (GPUs) have enabled inexpensive high performance computing for general-purpose applications. Due to GPU's tremendous computing capability, it has emerged as the co-processor of CPU to achieve a high overall throughput. CUDA programming model provides the programmers adequate C language like APIs to better exploit the parallel power of the GPU. K-nearest neighbor (KNN) is a widely used classification technique and has significant applications in various domains, especially in text classification. The computational-intensive nature of KNN requires a high performance implementation. In this paper, we propose CUKNN, a CUDA-based parallel implementation of KNN. It launches two CUDA kernels, distance calculation kernel and selecting kernel. In the distance calculation kernel, a great number of concurrent CUDA threads are issued, where each thread performs the calculation between the query object and a reference object; in the selecting kernel, threads in a block find the local-k nearest neighbors of the query object concurrently, and then a thread is invoked to find the global-k nearest neighbors out of the queues of local-k neighbors. Various CUDA optimization techniques are applied to maximize the utilization of GPU. We evaluate our implementation by using synthetic dataseis and a real physical simulation dataset. The experimental results demonstrate that CUKNN outperforms the serial KNN on an HP xw8600 workstation significantly, achieving up to 46.7IX speedup on the synthetic dataseis and 42.49X on the physical simulation dataset including I/O cost. It also shows good scalability when varying the number of dimensions of the reference dataset, the number of objects in the reference dataset, and the number of objects in the query dataset.","2158-6993","978-1-4244-6359-6","10.1109/SWS.2010.5607480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5607480","","Graphics processing unit;Instruction sets;Kernel;Nearest neighbor searches;Computational modeling;Programming;Classification algorithms","C language;computer graphic equipment;coprocessors;optimisation;pattern classification","parallel k-nearest neighbor algorithm;CUDA-enabled GPU;graphics processing units;coprocessor;C language;KNN;classification technique;text classification;parallel implementation;CUDA optimization techniques;query dataset","","12","1","18","","21 Oct 2010","","","IEEE","IEEE Conferences"
"Iterative tensor tracking using GPU for textile fabric defect detection","K. L. Mak; X. W. Tian","Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, China; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, China","The 2010 International Conference on Green Circuits and Systems","9 Aug 2010","2010","","","375","380","This paper presents an efficient real-time implementation of an unsupervised textile fabric defect detection algorithm called ITT using the concept of iterative tensor tracking on graphics processing unit (GPU). The algorithm adopts a new local image descriptor, Spatial Histograms of Oriented Gradients (S-HOG), which is shift-invariant, light insensitive and space scalable. For a given textile fabric image, ITT iteratively updates and then analyzes S-HOG using tensor operations, in particular tensor decomposition to detect textile defects. To speedup the calculation required, ITT is implemented on the GPU using the Compute Unified Device Architecture (CUDA) programming model. The respective computational efficiencies of implementing ITT on the GPU and on the CPU are compared by using experiments. The results demonstrate that the computation speed of the former is on average thirty times and ten times faster than that of the later for updating the S-HOG and for detecting defects respectively because of its parallel processing nature.","","978-1-4244-6878-2","10.1109/ICGCS.2010.5543036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5543036","","Tensile stress;Textiles;Fabrics;Detection algorithms;Graphics;Iterative algorithms;Histograms;Image analysis;Computer architecture;Computational efficiency","computer graphic equipment;coprocessors;fabrics;iterative methods;parallel architectures;production engineering computing;tensors;textiles;tracking","iterative tensor tracking;GPU;textile fabric defect detection;real-time implementation;graphics processing unit;local image descriptor;spatial histograms of oriented gradients;textile fabric image;tensor operations;tensor decomposition;compute unified device architecture programming;computation speed;parallel processing","","1","","9","","9 Aug 2010","","","IEEE","IEEE Conferences"
"An Evaluation of Unified Memory Technology on NVIDIA GPUs","W. Li; G. Jin; X. Cui; S. See","Center for High Performance Comput., Shanghai Jiao Tong Univ., Shanghai, China; Tokyo Inst. of Technol., Tokyo, Japan; Center for High Performance Comput., Shanghai Jiao Tong Univ., Shanghai, China; Center for High Performance Comput., Shanghai Jiao Tong Univ., Shanghai, China","2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","9 Jul 2015","2015","","","1092","1098","Unified Memory is an emerging technology which is supported by CUDA 6.X. Before CUDA 6.X, the existing CUDA programming model relies on programmers to explicitly manage data between CPU and GPU and hence increases programming complexity. CUDA 6.X provides a new technology which is called as Unified Memory to provide a new programming model that defines CPU and GPU memory space as a single coherent memory (imaging as a same common address space). The system manages data access between CPU and GPU without explicit memory copy functions. This paper is to evaluate the Unified Memory technology through different applications on different GPUs to show the users how to use the Unified Memory technology of CUDA 6.X efficiently. The applications include Diffusion3D Benchmark, Parboil Benchmark Suite, and Matrix Multiplication from the CUDA SDK Samples. We changed those applications to corresponding Unified Memory versions and compare those with the original ones. We selected the NVIDIA Keller K40 and the Jetson TK1, which can represent the latest GPUs with Keller architecture and the first mobile platform of NVIDIA series with Keller GPU. This paper shows that Unified Memory versions cause 10% performance loss on average. Furthermore, we used the NVIDIA Visual Profiler to dig the reason of the performance loss by the Unified Memory technology.","","978-1-4799-8006-2","10.1109/CCGrid.2015.105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152596","Unified Memory;Heterogeneous Computing;CUDA programming model","Graphics processing units;Benchmark testing;Kernel;Programming;Computational modeling;Memory management;Random access memory","graphics processing units;parallel architectures;storage management","unified memory technology;NVIDIA GPUs;CUDA 6.X;CUDA programming model;data management;CPU;programming complexity;single coherent memory;Diffusion3D benchmark;parboil benchmark suite;matrix multiplication;CUDA SDK samples;NVIDIA Keller K40;Jetson TK1;Keller architecture;mobile platform;NVIDIA visual profiler","","27","","21","","9 Jul 2015","","","IEEE","IEEE Conferences"
"Improving Application Performance by Efficiently Utilizing Heterogeneous Many-core Platforms","J. Shen; A. L. Varbanescu; H. Sips","Parallel & Distrib. Syst. Group, Delft Univ. of Technol., Delft, Netherlands; Inf. Inst., Univ. of Amsterdam, Amsterdam, Netherlands; Parallel & Distrib. Syst. Group, Delft Univ. of Technol., Delft, Netherlands","2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","9 Jul 2015","2015","","","709","712","Heterogeneous platforms integrating different types of processing units (such as multi-core CPUs and GPUs) are in high demand in high performance computing. Existing studies have shown that using heterogeneous platforms can improve application performance and hardware utilization. However, systematic methods to design, implement, and map applications to efficiently use heterogeneous computing resources are only very few. The goal of my PhD research is therefore to study such heterogeneous systems and propose systematic methods to allow many (classes of) applications to efficiently use them. After 3.5 years of PhD study, my contributions are (1) a thorough evaluation of a suitable programming model for heterogeneous computing, (2) a workload partitioning framework to accelerate parallel applications on heterogeneous platforms, (3) a modelling-based prediction method to determine the optimal workload partitioning, (4) a systematic approach to decide the best mapping between the application and the platform by choosing the best performing hardware configuration (Only-CPU, Only-GPU, or CPU+GPU with the workload partitioning). In the near future, I plan to apply my approach to large-scale applications and platforms to expand its usability and applicability.","","978-1-4799-8006-2","10.1109/CCGrid.2015.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152538","Heterogeneous platforms;Workload partitioning;Hardware configuration;Multi-core CPUs;GPUs;Accelerators","Hardware;Systematics;Computational modeling;Kernel;Graphics processing units;Programming;Predictive models","graphics processing units;multiprocessing systems;performance evaluation","application performance improvement;heterogeneous many-core platforms;multicore CPU;multicore GPU;high-performance computing;hardware utilization improvement;heterogeneous computing resource usage;programming model;parallel applications;modeling-based prediction method;optimal workload partitioning;only-CPU hardware configuration;only-GPU hardware configuration;CPU-plus-GPU hardware configuration;large-scale applications","","1","3","10","","9 Jul 2015","","","IEEE","IEEE Conferences"
