"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"MR-Graph: A Customizable GPU MapReduce","Z. Qiao; S. Liang; H. Jiang; S. Fu","Dept. of Comput. Sci. & Eng., Univ. of North Texas, Denton, TX, USA; Dept. of Comput. Sci. & Eng., Univ. of North Texas, Denton, TX, USA; Dept. of Comput. Sci., Arkansas State Univ., AR, USA; NA","2015 IEEE 2nd International Conference on Cyber Security and Cloud Computing","7 Jan 2016","2015","","","417","422","The MapReduce programming model has been widely used in Big Data and Cloud applications. Criticism on its inflexibility when being applied to complicated scientific applications recently emerges. Several techniques have been proposed to enhance its flexibility. However, some of them exert special requirements on applications, while others fail to support the increasingly popular coprocessors, such as Graphics Processing Unit (GPU). In this paper, we propose MR-Graph, a customizable and unified framework for GPU-based MapReduce, which aims to improve the flexibility, scalability and performance of MapReduce. MR-Graph addresses the limitations and restrictions of the traditional MapReduce execution paradigm. The three execution modes integrated in MR-Graph facilitates users to write their applications in a more flexible fashion by defining a Map and Reduce function call graph. MR-Graph efficiently explores the memory hierarchy in GPUs to reduce the data transfer overhead between execution stages and accommodate big data applications. We have implemented a prototype of MR-Graph and experimental results show the effectiveness of using MR-Graph for flexible and scalable GPU-based MapReduce computing.","","978-1-4673-9300-3","10.1109/CSCloud.2015.49","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371516","MapReduce;GPU;Configurable;Flexible;Iterative;Recursive","Graphics processing units;Programming;Parallel processing;Computational modeling;Big data;Cloud computing;Data models","graphics processing units;parallel programming","MR-Graph framework;GPU MapReduce;MapReduce programming model;graphics processing unit;MapReduce execution paradigm;memory hierarchy;Big Data applications","","","","15","","7 Jan 2016","","","IEEE","IEEE Conferences"
"Performance Optimization of Top-k Queries on GPU","T. Luo; G. -Z. Sun; G. Chen","Key Lab. on High Performance Comput., Anhui Province Univ. of Sci. & Technol. of China, Hefei, China; Key Lab. on High Performance Comput., Anhui Province Univ. of Sci. & Technol. of China, Hefei, China; Key Lab. on High Performance Comput., Anhui Province Univ. of Sci. & Technol. of China, Hefei, China","2011 Fourth International Symposium on Parallel Architectures, Algorithms and Programming","12 Jan 2012","2011","","","9","13","With the development of web search engines, the concern on real-time performance of Top-k queries has attracted more and more attention. The author studies implement of classic algorithm - No Random Access Algorithm in order to optimize performance of Top-k queries on GPU. We give a novel GPU algorithm by using the features of CUDA's programming model. Experiment results show that an implementation of the algorithm on one GPU runs more than 7000 times faster than a single core implementation on a latest CPU.","2168-3042","978-1-4577-1808-3","10.1109/PAAP.2011.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6128467","GPU;performance optimization;top-k queries","Graphics processing unit;Instruction sets;Upper bound;Programming;Algorithm design and analysis;Optimization;Vectors","graphics processing units;optimisation;parallel architectures;parallel programming;performance evaluation;query processing","performance optimization;top-k queries;GPU;Web search engines;classic algorithm;no random access algorithm;CUDA programming model","","1","","15","","12 Jan 2012","","","IEEE","IEEE Conferences"
"Towards an Effective Unified Programming Model for Many-Cores","A. L. Varbanescu; P. Hijma; R. van Nieuwpoort; H. Bal","Comput. Syst. Group, Vrije Univ. Amsterdam, Amsterdam, Netherlands; Comput. Syst. Group, Vrije Univ. Amsterdam, Amsterdam, Netherlands; Comput. Syst. Group, Vrije Univ. Amsterdam, Amsterdam, Netherlands; Comput. Syst. Group, Vrije Univ. Amsterdam, Amsterdam, Netherlands","2011 IEEE International Symposium on Parallel and Distributed Processing Workshops and Phd Forum","1 Sep 2011","2011","","","681","692","Building an effective programming model for many-core processors is challenging. On the one hand, the increasing variety of platforms and their specific programming models force users to take a hardware-centric approach not only for implementing parallel applications, but also for designing them. This approach diminishes portability and, eventually, limits performance. On the other hand, to effectively cope with the increased number of large-scale workloads that require parallelization, a portable, application-centric programming model is desirable. Such a model enables programmers to focus first on extracting and exploiting parallelism from their applications, as opposed to generating parallelism for specific hardware, and only second on platform-specific implementation and optimizations. In this paper, we first present a survey of programming models designed for programming three families of many-cores: general purpose many-cores (GPMCs), graphics processing units (GPUs), and the Cell/B.E.. We analyze the usability of these models, their ability to improve platform programmability, and the specific features that contribute to this improvement. Next, we also discuss two types of generic models: parallelism-centric and application-centric. We also analyze their features and impact on platform programmability. Based on this analysis, we recommend two application-centric models (OmpSs and OpenCL) as promising candidates for a unified programming model for many-cores and we discuss potential enhancements for them.","1530-2075","978-1-61284-425-1","10.1109/IPDPS.2011.210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6008837","","Programming;Parallel processing;Computer architecture;Data models;Concurrent computing;Computational modeling;Productivity","application program interfaces;computer graphic equipment;coprocessors;multiprocessing systems","unified programming model;many-core processors;application-centric programming model;parallelism generation;general purpose many-cores;GPMC;graphics processing units;GPU;Cell/B.E;parallelism-centric model;OmpS;OpenCL;multicore processors;many-core accelerators","","7","","26","","1 Sep 2011","","","IEEE","IEEE Conferences"
"Lit: A high performance massive data computing framework based on CPU/GPU cluster","Y. Zhai; E. Mbarushimana; W. Li; J. Zhang; Y. Guo","Beijing Engineering Research Center of Massive Language Information Processing and Cloud Computing Application, School of Computer Science, Beijing Institute of Technology, China 100081; Beijing Engineering Research Center of Massive Language Information Processing and Cloud Computing Application, School of Computer Science, Beijing Institute of Technology, China 100081; Science and Technology on Complex Systems Simulation Laboratory, Beijing, China; Science and Technology on Complex Systems Simulation Laboratory, Beijing, China; Beijing Engineering Research Center of Massive Language Information Processing and Cloud Computing Application, School of Computer Science, Beijing Institute of Technology, China 100081","2013 IEEE International Conference on Cluster Computing (CLUSTER)","9 Jan 2014","2013","","","1","8","Big data processing is receiving significant amount of interest as an important technology to reveal the information behind the data, such as trends, characteristics, etc. MapReduce is considered as the most efficient distributed parallel data processing framework. However, some high-end applications, especially some scientific analyses have both data-intensive and computation-intensive features. Current big data processing techniques like Hadoop are not designed for computation-intensive applications, thus have insufficient computation power. In this paper, we presented Lit, a high performance massive data computing framework based on CPU/GPU cluster. Lit integrated GPU with Hadoop to improve the computational power of each node in the cluster. Since the architecture and programming model of GPU is different from CPU, Lit provided an annotation based approach to automatically generate CUDA codes from Hadoop codes. Lit hided the complexity of programming on CPU/GPU cluster by providing extended compiler and optimizer. To utilize the simplified programming, scalability and fault tolerance benefits of Hadoop and combine them with the high performance computation power of GPU, Lit extended the Hadoop by applying a GPUClassloader to detect the GPU, generate and compile CUDA codes, and invoke the shared library. Our experimental results show that Lit can achieve an average speedup of 1x to 3x on three typical applications over Hadoop.","2168-9253","978-1-4799-0898-1","10.1109/CLUSTER.2013.6702614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6702614","","Graphics processing units;Computational modeling;Handheld computers;Data models;Load modeling;Semantics","Big Data;fault tolerant computing;graphics processing units;parallel architectures;program compilers","Lit;high performance massive data computing framework;CPU cluster;GPU cluster;Big Data processing;MapReduce;distributed parallel data processing framework;data-intensive feature;computation-intensive feature;programming model;annotation based approach;CUDA code generation;Hadoop codes;extended compiler;extended optimizer;fault tolerance;high performance computation power;GPUClassloader;GPU detection;CUDA code compiling","","6","1","19","","9 Jan 2014","","","IEEE","IEEE Conferences"
"LOOG: Improving GPU Efficiency With Light-Weight Out-Of-Order Execution","K. Iliakis; S. Xydis; D. Soudris","National Technical University of Athens, Zografou, Greece; National Technical University of Athens, Zografou, Greece; National Technical University of Athens, Zografou, Greece","IEEE Computer Architecture Letters","10 Jan 2020","2019","18","2","166","169","GPUs are one of the most prevalent platforms for accelerating general-purpose workloads due to their intuitive programming model, computing capacity, and cost-effectiveness. GPUs rely on massive multi-threading and fast context switching to overlap computations with memory operations. Among the diverse GPU workloads, there exists a class of kernels that fail to maintain a sufficient number of active warps to hide the latency of memory operations, and thus suffer from frequent stalling. We observe that these kernels will benefit from increased levels of Instruction-Level Parallelism and we propose a novel architecture with lightweight Out-Of-Order execution capability. To minimize hardware overheads, we carefully design our extension to highly re-use the existing micro-architectural structures. We show that the proposed architecture outperforms traditional platforms by 15 to 46 percent on average for low occupancy kernels, with an area overhead of 0.74 to 3.94 percent. Finally, we prove the potential of our proposal as a GPU u-arch alternative, by providing a 5 percent speedup over a wide collection of 63 general-purpose kernels with as little as 0.74 percent area overhead.","1556-6064","","10.1109/LCA.2019.2951161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8890662","GPGPU;Out-of-Order execution;micro-architecture","Graphics processing units;Kernel;Registers;Radio access technologies;Copper;Radio frequency;Out of order","graphics processing units;multi-threading;parallel architectures;storage management","light-weight out-of-order execution;out-of-order execution capability;GPU u-arch;general-purpose kernels;area overhead;low occupancy kernels;hardware overheads;instruction-level parallelism;stalling;active warps;GPU workloads;memory operations;massive multithreading;cost-effectiveness;intuitive programming model;general-purpose workloads;GPU efficiency;LOOG","","","","18","IEEE","4 Nov 2019","","","IEEE","IEEE Journals"
"Template matching of aerial images using GPU","N. Nazneen; M. Shafiq; A. Hameed","KICSIT, Rawalpindi, Pakistan; CESAT, Islamabad, Pakistan; CESAT, Islamabad, Pakistan","2016 13th International Bhurban Conference on Applied Sciences and Technology (IBCAST)","10 Mar 2016","2016","","","206","212","During the last decade, processor architectures have emerged with hundreds and thousands of high speed processing cores in a single chip. These cores can work in parallel to share a work load for faster execution. This paper presents performance evaluations on such multicore and many-core devices by mapping a computationally expensive correlation kernel of a template matching process using various programming models. The work builds a base performance case by a sequential mapping of the algorithm on an Intel processor. In the second step, the performance of the algorithm is enhanced by parallel mapping of the kernel on a shared memory multicore machine using OpenMP programming model. Finally, the Normalized Cross-Correlation (NCC) kernel is scaled to map on a many-core K20 GPU using CUDA programming model. In all steps, the correctness of the implementation of algorithm is taken care by comparing computed data with reference results from a high level implementation in MATLAB. The performance results are presented with various optimization techniques for MATLAB, Sequential, OpenMP and CUDA based implementations. The results show that GPU based implementation achieves 32x and 5x speed-ups respectively to the base case and multicore implementations respectively. Moreover, using inter-block sub-sampling on an 8-bit 4000×4000 reference gray-scale image achieves the execution time upto 2.8sec with an error growth less than 20% for the selected templates of size 96×96.","2151-1411","978-1-4673-9127-6","10.1109/IBCAST.2016.7429878","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429878","","Graphics processing units;MATLAB;Kernel;Computational modeling;Correlation;Instruction sets;Multicore processing","graphics processing units;image matching;parallel programming;shared memory systems","template matching;aerial image matching;graphics processing unit;multicore devices;many-core devices;correlation kernel mapping;sequential mapping;parallel mapping;shared memory multicore machine;OpenMP programming model;normalized cross-correlation kernel;NCC kernel;many-core K20 GPU;CUDA programming model;Compute Unified Device Architecture;Matlab;inter-block sub-sampling","","","","13","","10 Mar 2016","","","IEEE","IEEE Conferences"
"Sparse Matrix Formats Evaluation and Optimization on a GPU","M. R. Hugues; S. G. Petiton","TOTAL Exploration & Production, Pau, France; Lab. d'Inf. Fondamentale de Lille, CNRS/LIFL, Lille, France","2010 IEEE 12th International Conference on High Performance Computing and Communications (HPCC)","27 Sep 2010","2010","","","122","129","The data parallel programming model comes back with massive multicore architectures. The GPU is one of these and offers important possibilities to accelerate linear algebra. However, the irregular structure of sparse matrix operations generates problems with this programming model to obtain efficient performance. This depends on the used format to store values and the matrix structure. The sparse matrix-vector product (SpMV) is one of the most used kernel in scientific computing and is the main performance source of iterative methods. We propose an evaluation and optimization of several sparse formats for the SpMV kernel which have succeeded at the time of data parallel computer. This study is realized by analyzing the performances following the distribution of the non zeros values in the matrix to determine the best and the worst reachable value. The results show that all sparse formats converge to the same efficiency and perform poorly with a strong distribution of elements.","","978-1-4244-8335-8","10.1109/HPCC.2010.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5581446","Sparse Format;SpMV;GPU;Many-Core;Data Parallel Programming","Arrays;Sparse matrices;Graphics processing unit;Indexes;Instruction sets;Artificial neural networks;Finite element methods","computer graphic equipment;coprocessors;iterative methods;multiprocessing systems;parallel programming;sparse matrices","sparse matrix format evaluation;GPU;sparse matrix format optimization;data parallel programming model;massive multicore;linear algebra;sparse matrix vector product;iterative method;SpMV kernel","","10","","14","","27 Sep 2010","","","IEEE","IEEE Conferences"
"Beyond the Socket: NUMA-Aware GPUs","U. Milic; O. Villa; E. Bolotin; A. Arunkumar; E. Ebrahimi; A. Jaleel; A. Ramirez; D. Nellans","Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC); NVIDIA; NVIDIA; Arizona State University; NVIDIA; NVIDIA; Google; NVIDIA","2017 50th Annual IEEE/ACM International Symposium on Microarchitecture (MICRO)","11 Apr 2019","2017","","","123","135","GPUs achieve high throughput and power efficiency by employing many small single instruction multiple thread (SIMT) cores. To minimize scheduling logic and performance variance they utilize a uniform memory system and leverage strong data parallelism exposed via the programming model. With Moore’s law slowing, for GPUs to continue scaling performance (which largely depends on SIMT core count) they are likely to embrace multi-socket designs where transistors are more readily available. However when moving to such designs, maintaining the illusion of a uniform memory system is increasingly difficult. In this work we investigate multi-socket non-uniform memory access (NUMA) GPU designs and show that significant changes are needed to both the GPU interconnect and cache architectures to achieve performance scalability. We show that application phase effects can be exploited allowing GPU sockets to dynamically optimize their individual interconnect and cache policies, minimizing the impact of NUMA effects. Our NUMA-aware GPU outperforms a single GPU by $1.5 \times, 2.3 \times$, and $3.2 \times$ while achieving 89%, 84%, and 76% of theoretical application scalability in 2, 4, and 8 sockets designs respectively. Implementable today, NUMA-aware multi-socket GPUs may be a promising candidate for scaling GPU performance beyond a single socket.CCS CONCEPTS• Computing methodologies → Graphics processors; • Computer systems organization → Single instruction, multiple data;","2379-3155","978-1-4503-4952-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686671","Graphics Processing Units;Multi-socket GPUs;NUMA Systems","Graphics processing units;Bandwidth;Programming;Runtime;Sockets;Transistors;Throughput","cache storage;graphics processing units;integrated circuit design;multiprocessing systems;multi-threading;power aware computing","multisocket nonuniform memory access GPU designs;cache architectures;performance scalability;application phase effects;GPU sockets;individual interconnect;cache policies;NUMA effects;single GPU;scaling GPU performance;single socket;high throughput;power efficiency;single instruction multiple thread cores;scheduling logic;performance variance;uniform memory system;programming model;Moore's law slowing;scaling performance;SIMT core count;multisocket designs;NUMA-aware multisocket GPU;strong data parallelism","","","","63","","11 Apr 2019","","","IEEE","IEEE Conferences"
"A Branch-and-Bound algorithm using multiple GPU-based LP solvers","X. Meyer; B. Chopard; P. Albuquerque","Dept. of Computer Science, University of Geneva, Switzerland; Dept. of Computer Science, University of Geneva, Switzerland; Institute for Informatics & Telecommunications, University of Applied Sciences of Western Switzerland, Geneva, Switzerland","20th Annual International Conference on High Performance Computing","17 Apr 2014","2013","","","129","138","The Branch-and-Bound (B&B) method is a well-known optimization algorithm for solving integer linear programming (ILP) models in the field of operations research. It is part of software often employed by businesses for finding solutions to problems such as airline scheduling problems. It operates according to a divide-and-conquer principle by building a tree-like structure with nodes that represent linear programming (LP) problems. A LP solver commonly used to process the nodes is the simplex method. Nowadays its sequential implementation can be found in almost all commercial ILP solvers. In this paper, we present a hybrid CPU-GPU implementation of the B&B algorithm. The B&B tree is managed by the CPU, while the revised simplex method is mainly a GPU implementation, relying on the CUDA technology of NVIDIA. The CPU manages concurrently multiple instances of the LP solver. The principal difference with a sequential implementation of the B&B algorithm pertains to the LP solver, provided that the B&B tree is managed with the same strategy. We thus compared our GPU-based implementation of the revised simplex to a well-known open-source sequential solver, named CLP, of the COIN-OR project. For given problem densities, we measured a size threshhold beyond which our GPU implementation outperformed its sequential counterpart.","1094-7256","978-1-4799-0730-4","10.1109/HiPC.2013.6799105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799105","","Graphics processing units;Linear programming;Indexes;Mathematical model;Standards;Central Processing Unit;Equations","graphics processing units;integer programming;linear programming;public domain software;scheduling;travel industry;tree searching","branch-and-bound algorithm;multiple GPU-based LP solver;B&B method;optimization algorithm;integer linear programming model;ILP model;operations research;airline scheduling problem;divide-and-conquer principle;tree-like structure;LP problem;hybrid CPU-GPU implementation;B&B algorithm;B&B tree;simplex method;CUDA technology;NVIDIA;sequential implementation;GPU-based implementation;open-source sequential solver;CLP;COIN-OR project","","4","","33","","17 Apr 2014","","","IEEE","IEEE Conferences"
"Early evaluation of directive-based GPU programming models for productive exascale computing","S. Lee; J. S. Vetter","Oak Ridge Nat. Lab., Oak Ridge, TN, USA; Oak Ridge Nat. Lab., Georgia Inst. of Technol., Atlanta, GA, USA","SC '12: Proceedings of the International Conference on High Performance Computing, Networking, Storage and Analysis","25 Feb 2013","2012","","","1","11","Graphics Processing Unit (GPU)-based parallel computer architectures have shown increased popularity as a building block for high performance computing, and possibly for future Exascale computing. However, their programming complexity remains as a major hurdle for their widespread adoption. To provide better abstractions for programming GPU architectures, researchers and vendors have proposed several directive-based GPU programming models. These directive-based models provide different levels of abstraction, and required different levels of programming effort to port and optimize applications. Understanding these differences among these new models provides valuable insights on their applicability and performance potential. In this paper, we evaluate existing directive-based models by porting thirteen application kernels from various scientific domains to use CUDA GPUs, which, in turn, allows us to identify important issues in the functionality, scalability, tunability, and debuggability of the existing models. Our evaluation shows that directive-based models can achieve reasonable performance, compared to hand-written GPU codes.","2167-4337","978-1-4673-0806-9","10.1109/SC.2012.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6468490","","Graphics processing units;Programming;Computational modeling;Optimization;Data models;Computer architecture;Kernel","graphics processing units;parallel architectures;parallel programming;software performance evaluation","directive-based GPU programming model early evaluation;productive exascale computing;graphics processing unit-based parallel computer architectures;high performance computing;exascale computing;programming complexity;GPU architecture programming;abstraction levels;performance potential;programming effort levels;CUDA GPUs;hand-written GPU codes;program scalability;program functionality;program tunability;program debuggability","","40","","25","","25 Feb 2013","","","IEEE","IEEE Conferences"
